filename,width,height,class,xmin,ymin,xmax,ymax
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Jelly Milk,3180,1020,3608,1573
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Noir authentique,680,1100,1334,1773
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Noir authentique,1920,2070,2525,2708
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Noir authentique,2860,3050,3523,3670
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Jelly Milk,1210,3260,1620,3791
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Jelly Black,2530,2180,2898,2722
L1000910_JPG.rf.885dd5dbbeddabd94af45e77bfcdd458.jpg,6000,4000,Jelly Black,2230,2960,2744,3375
L1000792_JPG.rf.131b96eaa7756f3705888f8aa12bf892.jpg,6000,4000,Noir authentique,1200,2480,1840,3135
L1000792_JPG.rf.131b96eaa7756f3705888f8aa12bf892.jpg,6000,4000,Noir authentique,2670,240,3294,875
L1000792_JPG.rf.131b96eaa7756f3705888f8aa12bf892.jpg,6000,4000,Noir authentique,4430,2550,5068,3176
L1000792_JPG.rf.131b96eaa7756f3705888f8aa12bf892.jpg,6000,4000,Noblesse,2460,1430,3051,2038
L1000792_JPG.rf.131b96eaa7756f3705888f8aa12bf892.jpg,6000,4000,Noblesse,3002,1524,3594,2111
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Jelly White,2030,1300,2464,1852
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Jelly White,3500,2340,3929,2930
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Stracciatella,1740,2640,2323,3224
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Stracciatella,3790,1110,4386,1694
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Noblesse,2570,1860,3172,2472
L1000756_JPG.rf.a1b62c0361a79e779a4c6d6c47a31b59.jpg,6000,4000,Triangolo,2810,461,3467,1178
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Noblesse,1930,590,2525,1184
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Noblesse,4540,1090,5146,1673
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Jelly Milk,2310,1100,2823,1535
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Jelly Milk,4400,1640,4892,2049
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Arabia,2210,2459,2754,2993
L1000799_JPG.rf.563bf270a200da9d7b5ef0a811a50028.jpg,6000,4000,Arabia,4640,2400,5255,2960
