filename,width,height,class,xmin,ymin,xmax,ymax
Noblesse_JPG.rf.6897dbb030b45f7ad94801328e77831d.jpg,6000,4000,Noblesse,3130,1730,3733,2364
Amandina_JPG.rf.f68b5627f29c9a1f7c6284063f3ef4bc.jpg,6000,4000,Amandina,2680,2190,3599,2686
Passion_au_lait_JPG.rf.b34242418eab498e36192710c78475cc.jpg,6000,4000,Passion au lait,2850,1710,3595,2390
Creme_brulee_JPG.rf.4e011a1df0c0e4bbfa0d9badf253abf2.jpg,6000,4000,Creme brulee,3060,1920,3690,2581
Stracciatella_JPG.rf.0330d3fee1e1133d7a1766e64f048c57.jpg,6000,4000,Stracciatella,3380,2036,3951,2648
Jelly_Milk_JPG.rf.eca6fed26651fd03ed439b356317da5b.jpg,6000,4000,Jelly Milk,3080,1980,3626,2434
Triangolo_JPG.rf.5d85e2a5dd8cab6aa5fe2983e871a6e9.jpg,6000,4000,Triangolo,2940,1720,3560,2325
Jelly_White_JPG.rf.aa778c6d9dd04d3299673b4b56b5820d.jpg,6000,4000,Jelly White,3100,1980,3545,2515
Jelly_Black_JPG.rf.ba677d7e4559a26895d032b5bb1b8964.jpg,6000,4000,Jelly Black,3050,2030,3608,2491
Arabia_JPG.rf.9e54e6f2e87c0b217c35797760ffd6f6.jpg,6000,4000,Arabia,3060,2240,3570,2760
Comtesse_JPG.rf.88c67b9feb07bc083f1ba835751fecc7.jpg,6000,4000,Comtesse,2970,1840,3560,2409
Noir_authentique_JPG.rf.0dccbd4da5fc705d8576eb000606404a.jpg,6000,4000,Noir authentique,2980,1836,3608,2455
Tentation_noir_JPG.rf.296186500e22b04f658d8e9e5563bc4c.jpg,6000,4000,Tentation noir,2920,1951,3551,2622
